llm_used,hint,source_row_count,capture_folder_count,stitch_ok_count,stitch_exists_count,stitch_fallback_count,stitch_missing_count,stitch_error_count,total_captures,summed_unique_coordinates,overlap_capture_count,overlap_capture_percentage,duplicate_extra_capture_count,duplicate_extra_capture_percentage,out_of_bounds_capture_count,out_of_bounds_capture_percentage,out_of_bounds_unique_coordinate_count,out_of_bounds_unique_coordinate_percentage
code-gemini-2.5-flash-lite,easy,1,2,0,2,0,0,0,11,11,0,0.0,0,0.0,4,36.364,4,36.364
code-gemini-2.5-flash-lite,hard,1,2,0,1,0,1,0,38,7,37,97.368,31,81.579,1,2.632,1,14.286
code-gemini-2.5-flash-lite,medium,1,2,0,2,0,0,0,52,47,10,19.231,5,9.615,45,86.538,40,85.106
code-gemini-2.5-pro,easy,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
code-gemini-2.5-pro,hard,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
code-gemini-2.5-pro,medium,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
code-gemma-4-26b-a4b-it,easy,1,2,0,0,0,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
code-gemma-4-26b-a4b-it,hard,1,2,0,0,0,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
code-gemma-4-26b-a4b-it,medium,1,2,0,0,0,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
code-gemma-4-31b-it,easy,1,2,0,0,0,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
code-gemma-4-31b-it,hard,1,2,0,0,0,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
code-gemma-4-31b-it,medium,1,2,0,0,0,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
gemini-2.5-flash-lite,easy,1,2,0,2,0,0,0,16,12,8,50.0,4,25.0,0,0.0,0,0.0
gemini-2.5-flash-lite,hard,1,2,0,2,0,0,0,22,18,8,36.364,4,18.182,8,36.364,6,33.333
gemini-2.5-flash-lite,medium,1,2,0,2,0,0,0,14,13,2,14.286,1,7.143,1,7.143,1,7.692
gemini-2.5-pro,easy,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemini-2.5-pro,hard,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemini-2.5-pro,medium,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemma-4-26b-a4b-it,easy,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemma-4-26b-a4b-it,hard,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemma-4-26b-a4b-it,medium,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemma-4-31b-it,easy,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemma-4-31b-it,hard,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
gemma-4-31b-it,medium,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
greedy,,1,2,0,2,0,0,0,12,12,0,0.0,0,0.0,0,0.0,0,0.0
